,tweet_id,date_time,lang,user_id,retweeted_id,quoted_id,in_reply_to_id,sentiment_conf,sentiment_label,user_type,gender_label,tweet_text_named_entities,geo_coordinates_lat_lon,geo_country_code,geo_state,geo_county,geo_city,place_bounding_box,place_country_code,place_state,place_county,place_city,user_loc_toponym,user_loc_country_code,user_loc_state,user_loc_county,user_loc_city,User_profile_description_toponyms,user_profile_description_country_code,user_profile_description_state,user_profile_description_county,user_profile_description_city,tweet_text_toponyms,tweet_text_country_code,tweet_text_state,tweet_text_county,tweet_text_city,geo_coord_latitude,geo_coord_longitude
10629,1223400557144166400,2020-02-01T00:19:57,en,1305361531,,,,0.68,-1,ORG,,"[{'label': 'GPE', 'term': 'wuhan Hamilton'}]","[43.26, -79.8761]",CA,Ontario,,Hamilton,"[[[-80.248423, 43.050553], [-80.248423, 43.470838], [-79.578618, 43.470838], [-79.578618, 43.050553]]]",CA,Ontario,,Hamilton,"Hamilton, Ontario Canada",CA,Ontario,,Hamilton,,,,,,,,,,,43.26,-79.8761
22112,1223406199380398081,2020-02-01T00:42:22,en,356484644,,,,0.599,0,PER,M,"[{'label': 'ORG', 'term': 'The People s Liberation Army'}, {'label': 'FAC', 'term': 'the Shanghai City Hall'}, {'label': 'NORP', 'term': 'chinese'}, {'label': 'GPE', 'term': 'shanghai'}, {'label': 'GPE', 'term': 'china city'}]","[31.23221028, 121.46977862]",CN,,,Huangpu District,"[[[120.858322, 30.69094], [120.858322, 31.86889], [121.9733, 31.86889], [121.9733, 30.69094]]]",CN,,,,"Provo, UT",US,Utah,Utah County,Provo,,,,,,"['the Shanghai City Hall', 'shanghai', 'china city']","['US', 'CN', 'GB']","['Illinois', 'UNK', 'England']","['Warren County', 'UNK', 'Essex']","['UNK', 'Shanghai', 'UNK']",31.23221028,121.46977862
31223,1223410659720933376,2020-02-01T01:00:05,en,356484644,,,,0.646,0,PER,M,"[{'label': 'ORG', 'term': 'The Shanghai Grand Theatre'}, {'label': 'NORP', 'term': 'chinese'}, {'label': 'GPE', 'term': 'shanghai'}, {'label': 'GPE', 'term': 'china city'}]","[31.232, 121.467]",CN,,,Huangpu District,"[[[120.858322, 30.69094], [120.858322, 31.86889], [121.9733, 31.86889], [121.9733, 30.69094]]]",CN,,,,"Provo, UT",US,Utah,Utah County,Provo,,,,,,"['shanghai', 'china city']","['CN', 'GB']","['UNK', 'England']","['UNK', 'Essex']","['Shanghai', 'UNK']",31.232,121.467
34790,1223412331729817601,2020-02-01T01:06:44,en,20415334,,,,0.355,0,PER,F,"[{'label': 'QUANTITY', 'term': '2 ton'}, {'label': 'ORG', 'term': 'lysol'}, {'label': 'PRODUCT', 'term': 'Lysol'}, {'label': 'PERSON', 'term': 'Roni B Sterin'}, {'label': 'ORG', 'term': 'G amp E Realty Group'}]","[26.063241, -80.289742]",US,Florida,Broward County,,"[[[-80.352832, 26.029413], [-80.352832, 26.064864], [-80.248923, 26.064864], [-80.248923, 26.029413]]]",US,Florida,Broward County,,"Fort Lauderdale, FL",US,Florida,Broward County,Fort Lauderdale,,,,,,,,,,,26.063241,-80.289742
35413,1223412615663124481,2020-02-01T01:07:52,en,998097128,,,,0.63,0,PER,M,"[{'label': 'DATE', 'term': 'Valentines Day'}, {'label': 'DATE', 'term': 'valentines day'}, {'label': 'GPE', 'term': 'Jackson'}]","[43.4795, -110.7623]",US,Wyoming,Teton County,,"[[[-110.81349, 43.458264], [-110.81349, 43.490734], [-110.73759, 43.490734], [-110.73759, 43.458264]]]",US,Michigan,Jackson County,,,,,,,"['Phoenix', 'the U S']","['US', 'US']","['Illinois', 'Wisconsin']","['Cook County', 'Langlade County']","['UNK', 'UNK']",['Jackson'],['US'],['Michigan'],['Jackson County'],['UNK'],43.4795,-110.7623
43469,1223416639754002438,2020-02-01T01:23:51,en,636384595,,,,0.647,0,UNK,,"[{'label': 'PERSON', 'term': 'CoronavirusWho CoronaOutbreak'}]","[31.2, 121.5]",CN,,,Pudong,"[[[120.858322, 30.69094], [120.858322, 31.86889], [121.9733, 31.86889], [121.9733, 30.69094]]]",CN,,,,Islamic Republic of Iran,IR,,,,,,,,,,,,,,31.2,121.5
54365,1223422168740061184,2020-02-01T01:45:49,en,397627836,,,,0.459,0,PER,F,"[{'label': 'GPE', 'term': 'Mexico'}, {'label': 'FAC', 'term': 'bronson bar'}, {'label': 'TIME', 'term': '9pm 2'}]","[34.09825046, -118.31758115]",US,California,Los Angeles County,Los Angeles,"[[[-118.668404, 33.704538], [-118.668404, 34.337041], [-118.155409, 34.337041], [-118.155409, 33.704538]]]",US,California,Los Angeles County,,"Los Angeles, California",US,California,Los Angeles County,,,,,,,"['Mexico', 'bronson bar']","['MX', 'US']","['UNK', 'Michigan']","['UNK', 'Branch County']","['UNK', 'UNK']",34.09825046,-118.31758115
60238,1223425081956802560,2020-02-01T01:57:24,en,1043099688,,,,0.771,-1,PER,M,"[{'label': 'CARDINAL', 'term': 'at least 259'}, {'label': 'CARDINAL', 'term': 'more than 11,700'}, {'label': 'GPE', 'term': 'China'}, {'label': 'CARDINAL', 'term': 'more than a dozen'}]","[45.45432044, 9.19471562]",IT,Lombardy,Milan,Milan,"[[[9.040628, 45.386726], [9.040628, 45.535964], [9.278045, 45.535964], [9.278045, 45.386726]]]",IT,Lombardy,Milan,,,,,,,"['Refractive Surgery', 'Macula', 'Retina']","['IN', 'OM', 'ES']","['Maharashtra', 'Ash Sharqiyah South', 'Castile and León']","['Aurangabad', 'UNK', 'Ávila']","['Aurangabad', 'UNK', 'UNK']",['China'],['CN'],['UNK'],['UNK'],['UNK'],45.45432044,9.19471562
78453,1223432630110248961,2020-02-01T02:27:23,en,2652773786,,,,0.408,0,UNK,,,"[28.671629, 121.405369]",CN,Zhejiang,,Jiaojiang District,"[[[117.998322, 27.14303], [117.998322, 31.176662], [122.65458, 31.176662], [122.65458, 27.14303]]]",CN,Zhejiang,,,"taizhou,zhejiang",CN,Zhejiang,,Taizhou,,,,,,,,,,,28.671629,121.405369
79756,1223433169841479680,2020-02-01T02:29:32,en,853007708814954496,,,,0.681,-1,PER,F,,"[37.7929728, -122.3958528]",US,California,San Francisco,San Francisco,"[[[-122.514926, 37.708075], [-122.514926, 37.833238], [-122.357031, 37.833238], [-122.357031, 37.708075]]]",US,California,San Francisco,,"San Francisco, CA",US,California,San Francisco,,,,,,,,,,,,37.7929728,-122.3958528
