,tweet_id,date_time,lang,user_id,retweeted_id,quoted_id,in_reply_to_id,sentiment_conf,sentiment_label,user_type,gender_label,tweet_text_named_entities,geo_coordinates_lat_lon,geo_country_code,geo_state,geo_county,geo_city,place_bounding_box,place_country_code,place_state,place_county,place_city,user_loc_toponyms,user_loc_country_code,user_loc_state,user_loc_county,user_loc_city,user_profile_description_toponyms,user_profile_description_country_code,user_profile_description_state,user_profile_description_county,user_profile_description_city,tweet_text_toponyms,tweet_text_country_code,tweet_text_state,tweet_text_county,tweet_text_city,geo_coord_latitude,geo_coord_longitude
13387,1232726629606031360,2020-02-26T17:58:26,en,1100624319711870977,,1.232707961467728e+18,,0.619,-1,ORG,,,"[37.978224, -121.768525]",US,California,Contra Costa County,Antioch,"[[[-121.860664, 37.945647], [-121.860664, 38.025674], [-121.732224, 38.025674], [-121.732224, 37.945647]]]",US,California,Contra Costa County,Antioch,The 9,MA,,,,,,,,,,,,,,37.978224,-121.768525
32592,1235542293492273153,2020-03-05T12:26:52,en,202863718,,,,0.412,-1,PER,M,"[{'label': 'GPE', 'term': 'Morocco'}, {'label': 'COVID-Entity', 'term': 'Coronavirus'}, {'label': 'NORP', 'term': 'Moroccan'}]","[33.58655958, -7.63253689]",MA,,Pachalik de Casablanca,arrondissement d'El Maarif مقاطعة المعاريف,"[[[-7.661346, 33.549119], [-7.661346, 33.591088], [-7.610821, 33.591088], [-7.610821, 33.549119]]]",MA,,Pachalik de Casablanca,arrondissement d'El Maarif مقاطعة المعاريف,Maroc,MA,,,,,,,,,['Morocco'],['MA'],['UNK'],['UNK'],['UNK'],33.58655958,-7.63253689
41492,1236916243753349120,2020-03-09T07:26:27,tl,170038617,,1.2369160026062438e+18,,0.467,0,UNK,,"[{'label': 'CARDINAL', 'term': '69'}]","[34.41137695, -118.56079806]",US,California,Los Angeles County,Santa Clarita,"[[[-118.627874, 34.347483], [-118.627874, 34.483779], [-118.378643, 34.483779], [-118.378643, 34.347483]]]",US,California,Los Angeles County,Santa Clarita,the air,MA,,cercle de Hrara,Ayir ايير,,,,,,,,,,,34.41137695,-118.56079806
42574,1237057792609001473,2020-03-09T16:48:55,es,1070255178568396800,,,,0.782,-1,PER,M,"[{'label': 'COVID-Entity', 'term': 'COVID'}, {'label': 'COVID-Entity', 'term': 'Coronavirus'}, {'label': 'LOC', 'term': 'Tangier'}, {'label': 'LOC', 'term': 'Morocco'}]","[35.7611, -5.8192]",MA,,pachalik de Tanger طنجة,Tangier,"[[[-5.844369, 35.751753], [-5.844369, 35.779101], [-5.803855, 35.779101], [-5.803855, 35.751753]]]",MA,,pachalik de Tanger طنجة,arrondissement de Charf-Souani الشرف السواني,"Tánger, Marruecos",MA,,pachalik de Tanger طنجة,Tangier,"['Centro', 'Exterior', 'Rabat', 'Marruecos']","['PT', 'CO', 'MA', 'MA']","['Centro', 'Meta', 'UNK', 'UNK']","['UNK', 'UNK', 'UNK', 'UNK']","['UNK', 'UNK', 'UNK', 'UNK']","['Tangier', 'Morocco']","['MA', 'MA']","['UNK', 'UNK']","['pachalik de Tanger طنجة', 'UNK']","['Tangier', 'UNK']",35.7611,-5.8192
46327,1237532617852850176,2020-03-11T00:15:42,en,1100624319711870977,,,,0.893,-1,ORG,,"[{'label': 'COVID-Entity', 'term': 'corona'}]","[38.019586, -121.941103]",US,California,Contra Costa County,,"[[[-121.992675, 38.01551], [-121.992675, 38.054858], [-121.927114, 38.054858], [-121.927114, 38.01551]]]",US,California,Contra Costa County,,The 9,MA,,,,,,,,,,,,,,38.019586,-121.941103
46328,1237532907591200768,2020-03-11T00:16:52,en,1100624319711870977,,,,0.782,-1,ORG,,,"[38.016808, -121.942754]",US,California,Contra Costa County,,"[[[-121.987421, 37.989865], [-121.987421, 38.043639], [-121.833268, 38.043639], [-121.833268, 37.989865]]]",US,California,Contra Costa County,,The 9,MA,,,,,,,,,,,,,,38.016808,-121.942754
51800,1238204388440752158,2020-03-12T20:45:05,ar,733685301281972225,,,,0.552,0,UNK,,"[{'label': 'GPE', 'term': 'maroc'}, {'label': 'ORG', 'term': 'Port Tanger Med'}]","[35.90673366, -5.47294216]",MA,,cercle d'Anjra,Ksar El Majaz,"[[[-5.565173, 35.733659], [-5.565173, 35.914633], [-5.453612, 35.914633], [-5.453612, 35.733659]]]",MA,,cercle d'Anjra,Ksar El Majaz,KSAR SGHIR,MA,,cercle de Fahs,Ksar es-Seghir,,,,,,['maroc'],['MA'],['UNK'],['UNK'],['UNK'],35.90673366,-5.47294216
53831,1238438713115500545,2020-03-13T12:16:12,en,65386810,,,,0.585,-1,ORG,,"[{'label': 'ORG', 'term': 'Market Basket'}, {'label': 'ORG', 'term': 'CoronaVirus North Andover'}, {'label': 'GPE', 'term': 'Massachusetts'}]","[42.6986, -71.1356]",US,Massachusetts,Essex County,,"[[[-71.145979, 42.604079], [-71.145979, 42.741253], [-71.03389, 42.741253], [-71.03389, 42.604079]]]",US,Massachusetts,Essex County,,"LAWTOWN,MA ",MA,,,,,,,,,['Massachusetts'],['US'],['Massachusetts'],['UNK'],['UNK'],42.6986,-71.1356
56446,1238715490295599104,2020-03-14T06:36:01,ja,25981407,,,,0.555,1,PER,F,"[{'label': 'LOC', 'term': 'Marrakech'}, {'label': 'ORG', 'term': 'BBC Radio'}]","[31.64182833, -8.00281112]",MA,,Pachalik de Marrakech,arrondissement de Guéliz كليز,"[[[-8.041966, 31.594183], [-8.041966, 31.698717], [-7.983023, 31.698717], [-7.983023, 31.594183]]]",MA,,Pachalik de Marrakech,arrondissement de Guéliz كليز,,,,,,"['Morocco', 'Morocco']","['MA', 'MA']","['UNK', 'UNK']","['UNK', 'UNK']","['UNK', 'UNK']",['Marrakech'],['MA'],['UNK'],['Pachalik de Marrakech'],['UNK'],31.64182833,-8.00281112
56841,1238782695506956288,2020-03-14T11:03:04,es,202863718,,,,0.578,0,PER,M,"[{'label': 'MISC', 'term': 'In the era of coronavirus 4361'}]","[33.5942, -7.6193]",MA,,Pachalik de Casablanca,Casablanca,"[[[-7.63981, 33.582683], [-7.63981, 33.620683], [-7.579696, 33.620683], [-7.579696, 33.582683]]]",MA,,Pachalik de Casablanca,Casablanca,Maroc,MA,,,,,,,,,,,,,,33.5942,-7.6193
